Date,Time,Area_Name,Road_Type,Weather_Condition,Surface_Condition,Traffic_Density,Accident_Severity
2023-01-18,22:00,Outer Ring Road (Nehru Place),Highway,Fog,Damp,High,7
2023-01-18,09:00,Hauz Khas Village Rd,City,Stormy,Wet,Low,5
2023-01-18,16:00,Bawana Industrial Area,Rural,Rain,Wet,Low,6
2023-01-19,01:00,DND Flyway,Highway,Stormy,Wet,Low,10
2023-01-19,00:00,Bawana Industrial Area,Rural,Stormy,Wet,High,10
2023-01-19,06:00,Chhatarpur Farm Road,Rural,Clear,Dry,Low,2
2023-01-19,17:00,Lajpat Nagar Market Rd,City,Stormy,Wet,Low,5
2023-01-19,17:00,Connaught Place Outer Circle,City,Rain,Wet,Low,3
2023-01-19,00:00,Najafgarh-Dhansa Road,Rural,Rain,Wet,Medium,5
2023-01-19,16:00,Noida-Greater Noida Expressway,Highway,Stormy,Wet,High,10
2023-01-19,15:00,Noida-Greater Noida Expressway,Highway,Clear,Dry,High,3
2023-01-19,10:00,Outer Ring Road (Nehru Place),Highway,Fog,Damp,Low,7
2023-01-19,12:00,Bawana Industrial Area,Rural,Stormy,Wet,Medium,10
2023-01-19,19:00,Lajpat Nagar Market Rd,City,Clear,Dry,Low,2
2023-01-19,02:00,Lajpat Nagar Market Rd,City,Rain,Wet,Low,6
2023-01-19,01:00,Noida-Greater Noida Expressway,Highway,Clear,Dry,Medium,2
2023-01-19,04:00,Delhi-Gurgaon Expressway,Highway,Clear,Dry,Low,2
2023-01-19,22:00,Delhi-Gurgaon Expressway,Highway,Stormy,Wet,Low,9
2023-01-19,03:00,Connaught Place Outer Circle,City,Clear,Dry,Medium,3
2023-01-19,18:00,Hauz Khas Village Rd,City,Stormy,Wet,High,9
2023-01-19,20:00,Connaught Place Outer Circle,City,Rain,Wet,Medium,5
2023-01-20,08:00,DND Flyway,Highway,Clear,Dry,High,4
2023-01-20,04:00,Chandni Chowk Main Road,City,Clear,Dry,Low,1
2023-01-20,14:00,Najafgarh-Dhansa Road,Rural,Stormy,Wet,High,9
2023-01-20,03:00,Hauz Khas Village Rd,City,Clear,Dry,High,2
2023-01-20,00:00,Noida-Greater Noida Expressway,Highway,Rain,Wet,High,6
2023-01-20,05:00,Chandni Chowk Main Road,City,Rain,Wet,Low,3
2023-01-20,14:00,Outer Ring Road (Nehru Place),Highway,Fog,Damp,Medium,9
2023-01-20,06:00,Najafgarh-Dhansa Road,Rural,Clear,Dry,Low,3
2023-01-20,08:00,Outer Ring Road (Nehru Place),Highway,Clear,Dry,Low,3
2023-01-20,01:00,Hauz Khas Village Rd,City,Clear,Dry,Low,1
2023-01-20,02:00,Connaught Place Outer Circle,City,Fog,Damp,High,5
2023-01-20,05:00,Chhatarpur Farm Road,Rural,Clear,Dry,Medium,3
2023-01-20,08:00,Hauz Khas Village Rd,City,Rain,Wet,Medium,4
2023-01-20,17:00,Najafgarh-Dhansa Road,Rural,Fog,Damp,High,10
2023-01-20,03:00,Noida-Greater Noida Expressway,Highway,Clear,Dry,High,3
2023-01-20,14:00,Delhi-Gurgaon Expressway,Highway,Stormy,Wet,Medium,7
2023-01-21,21:00,Delhi-Gurgaon Expressway,Highway,Rain,Wet,High,6
2023-01-21,10:00,Bawana Industrial Area,Rural,Rain,Wet,High,6
2023-01-21,10:00,Bawana Industrial Area,Rural,Stormy,Wet,High,10
2023-01-21,10:00,Lajpat Nagar Market Rd,City,Stormy,Wet,Medium,6
2023-01-21,00:00,Chandni Chowk Main Road,City,Fog,Damp,Medium,7
2023-01-21,05:00,Najafgarh-Dhansa Road,Rural,Fog,Damp,Medium,10
2023-01-21,18:00,Chandni Chowk Main Road,City,Fog,Damp,High,8
2023-01-21,18:00,Bawana Industrial Area,Rural,Clear,Dry,Low,1
2023-01-21,17:00,DND Flyway,Highway,Stormy,Wet,Low,10
2023-01-21,05:00,Connaught Place Outer Circle,City,Stormy,Wet,Low,7
2023-01-21,01:00,Hauz Khas Village Rd,City,Fog,Damp,Medium,5
2023-01-21,02:00,Chhatarpur Farm Road,Rural,Fog,Damp,Medium,10
2023-01-21,03:00,Lajpat Nagar Market Rd,City,Fog,Damp,Low,5
2023-01-21,20:00,Chandni Chowk Main Road,City,Clear,Dry,Medium,1
2023-01-21,00:00,Outer Ring Road (Nehru Place),Highway,Stormy,Wet,Low,9
2023-01-21,17:00,Chhatarpur Farm Road,Rural,Stormy,Wet,Low,9
2023-01-21,12:00,Connaught Place Outer Circle,City,Clear,Dry,Medium,1
2023-01-21,03:00,DND Flyway,Highway,Rain,Wet,High,6
2023-01-21,00:00,Noida-Greater Noida Expressway,Highway,Fog,Damp,Medium,7
2023-01-22,21:00,Outer Ring Road (Nehru Place),Highway,Rain,Wet,Low,7
2023-01-22,07:00,Chhatarpur Farm Road,Rural,Rain,Wet,Medium,5
2023-01-22,15:00,Noida-Greater Noida Expressway,Highway,Fog,Damp,High,10
2023-01-22,00:00,Chhatarpur Farm Road,Rural,Clear,Dry,Low,1
2023-01-22,16:00,Lajpat Nagar Market Rd,City,Rain,Wet,High,5
2023-01-22,14:00,Lajpat Nagar Market Rd,City,Stormy,Wet,Low,5
2023-01-22,01:00,Hauz Khas Village Rd,City,Clear,Dry,Medium,3
2023-01-22,17:00,Connaught Place Outer Circle,City,Stormy,Wet,High,8
2023-01-22,19:00,Chhatarpur Farm Road,Rural,Stormy,Wet,Low,9
2023-01-22,14:00,Najafgarh-Dhansa Road,Rural,Fog,Damp,Medium,8
2023-01-22,06:00,DND Flyway,Highway,Stormy,Wet,Low,9
2023-01-22,16:00,Outer Ring Road (Nehru Place),Highway,Stormy,Wet,Low,8
2023-01-22,09:00,Hauz Khas Village Rd,City,Fog,Damp,Medium,5
2023-01-22,17:00,Hauz Khas Village Rd,City,Rain,Wet,High,4
2023-01-22,22:00,Bawana Industrial Area,Rural,Rain,Wet,Low,5
2023-01-22,05:00,DND Flyway,Highway,Stormy,Wet,Medium,7
2023-01-22,02:00,Najafgarh-Dhansa Road,Rural,Fog,Damp,High,9
2023-01-22,07:00,Najafgarh-Dhansa Road,Rural,Rain,Wet,High,6
2023-01-23,14:00,Chandni Chowk Main Road,City,Clear,Dry,Low,2
2023-01-23,09:00,Outer Ring Road (Nehru Place),Highway,Rain,Wet,High,8
2023-01-23,06:00,Hauz Khas Village Rd,City,Clear,Dry,High,1
2023-01-23,01:00,DND Flyway,Highway,Clear,Dry,High,3
2023-01-23,15:00,Noida-Greater Noida Expressway,Highway,Rain,Wet,Medium,7
2023-01-23,03:00,Outer Ring Road (Nehru Place),Highway,Stormy,Wet,Medium,8
2023-01-23,18:00,Hauz Khas Village Rd,City,Stormy,Wet,Low,8
2023-01-23,12:00,Chandni Chowk Main Road,City,Rain,Wet,High,6
2023-01-23,12:00,Bawana Industrial Area,Rural,Fog,Damp,Low,8
2023-01-23,06:00,DND Flyway,Highway,Rain,Wet,Medium,5
2023-01-23,14:00,Hauz Khas Village Rd,City,Stormy,Wet,Low,8
2023-01-23,14:00,Outer Ring Road (Nehru Place),Highway,Rain,Wet,High,7
2023-01-23,22:00,Delhi-Gurgaon Expressway,Highway,Stormy,Wet,Low,9
2023-01-23,13:00,Outer Ring Road (Nehru Place),Highway,Rain,Wet,Medium,7
2023-01-23,03:00,Hauz Khas Village Rd,City,Stormy,Wet,Medium,7
2023-01-23,11:00,Bawana Industrial Area,Rural,Rain,Wet,High,6
2023-01-23,21:00,Bawana Industrial Area,Rural,Stormy,Wet,High,10
2023-01-23,02:00,Outer Ring Road (Nehru Place),Highway,Rain,Wet,Medium,7
2023-01-23,00:00,Lajpat Nagar Market Rd,City,Stormy,Wet,Low,6
2023-01-23,00:00,DND Flyway,Highway,Clear,Dry,Medium,4
2023-01-23,04:00,Delhi-Gurgaon Expressway,Highway,Clear,Dry,High,4
2023-01-24,15:00,DND Flyway,Highway,Clear,Dry,High,5
2023-01-24,16:00,Noida-Greater Noida Expressway,Highway,Clear,Dry,Medium,2
2023-01-24,13:00,Noida-Greater Noida Expressway,Highway,Rain,Wet,Low,5
2023-01-24,13:00,Delhi-Gurgaon Expressway,Highway,Stormy,Wet,High,10
2023-01-24,03:00,Chandni Chowk Main Road,City,Clear,Dry,Medium,1
2023-01-24,01:00,Delhi-Gurgaon Expressway,Highway,Fog,Damp,Medium,8
2023-01-24,07:00,DND Flyway,Highway,Fog,Damp,High,9
2023-01-24,11:00,Lajpat Nagar Market Rd,City,Rain,Wet,Medium,4
2023-01-24,08:00,Hauz Khas Village Rd,City,Rain,Wet,Low,4
2023-01-24,06:00,Hauz Khas Village Rd,City,Rain,Wet,High,6
2023-01-24,06:00,Connaught Place Outer Circle,City,Rain,Wet,High,4
2023-01-24,20:00,Lajpat Nagar Market Rd,City,Stormy,Wet,Low,6
2023-01-24,10:00,Connaught Place Outer Circle,City,Fog,Damp,High,7
2023-01-24,23:00,Chhatarpur Farm Road,Rural,Rain,Wet,Medium,4
2023-01-24,18:00,Hauz Khas Village Rd,City,Fog,Damp,Medium,5
2023-01-24,05:00,Chandni Chowk Main Road,City,Stormy,Wet,Medium,5
2023-01-24,07:00,Chhatarpur Farm Road,Rural,Stormy,Wet,Medium,10
2023-01-24,14:00,Connaught Place Outer Circle,City,Fog,Damp,High,7
2023-01-24,22:00,Outer Ring Road (Nehru Place),Highway,Stormy,Wet,Low,7
2023-01-24,19:00,Outer Ring Road (Nehru Place),Highway,Clear,Dry,High,3
2023-01-24,11:00,Delhi-Gurgaon Expressway,Highway,Clear,Dry,Low,3
2023-01-25,06:00,Chhatarpur Farm Road,Rural,Clear,Dry,Low,2
2023-01-25,01:00,Delhi-Gurgaon Expressway,Highway,Rain,Wet,High,8
2023-01-25,10:00,Chandni Chowk Main Road,City,Rain,Wet,Low,3
2023-01-25,23:00,Chhatarpur Farm Road,Rural,Fog,Damp,Medium,8
2023-01-25,12:00,Noida-Greater Noida Expressway,Highway,Stormy,Wet,Medium,7
2023-01-25,16:00,Outer Ring Road (Nehru Place),Highway,Rain,Wet,Low,5
2023-01-25,01:00,Connaught Place Outer Circle,City,Stormy,Wet,Low,7
2023-01-25,04:00,Chhatarpur Farm Road,Rural,Rain,Wet,Medium,3
2023-01-25,00:00,DND Flyway,Highway,Rain,Wet,Low,7
2023-01-25,03:00,Lajpat Nagar Market Rd,City,Clear,Dry,Medium,1
2023-01-25,00:00,Hauz Khas Village Rd,City,Stormy,Wet,High,7
2023-01-25,19:00,Lajpat Nagar Market Rd,City,Fog,Damp,Low,6
2023-01-25,01:00,Delhi-Gurgaon Expressway,Highway,Rain,Wet,Medium,7
2023-01-25,16:00,Najafgarh-Dhansa Road,Rural,Stormy,Wet,Medium,10
2023-01-25,02:00,Delhi-Gurgaon Expressway,Highway,Clear,Dry,Medium,2
2023-01-25,10:00,Connaught Place Outer Circle,City,Rain,Wet,Medium,3
2023-01-25,13:00,Outer Ring Road (Nehru Place),Highway,Clear,Dry,Medium,4
2023-01-25,19:00,Chandni Chowk Main Road,City,Clear,Dry,Medium,1
2023-01-26,17:00,Noida-Greater Noida Expressway,Highway,Clear,Dry,High,5
2023-01-26,05:00,Hauz Khas Village Rd,City,Clear,Dry,Medium,1
2023-01-26,11:00,Outer Ring Road (Nehru Place),Highway,Stormy,Wet,Medium,10
2023-01-26,00:00,Connaught Place Outer Circle,City,Stormy,Wet,High,9
2023-01-26,23:00,Outer Ring Road (Nehru Place),Highway,Rain,Wet,Low,5
2023-01-26,00:00,Bawana Industrial Area,Rural,Stormy,Wet,Low,10
2023-01-26,16:00,Bawana Industrial Area,Rural,Clear,Dry,Low,2
2023-01-26,18:00,DND Flyway,Highway,Clear,Dry,High,5
2023-01-26,18:00,Hauz Khas Village Rd,City,Rain,Wet,Low,6
2023-01-26,05:00,Noida-Greater Noida Expressway,Highway,Stormy,Wet,High,9
2023-01-26,10:00,Noida-Greater Noida Expressway,Highway,Stormy,Wet,Low,9
2023-01-26,01:00,Chhatarpur Farm Road,Rural,Clear,Dry,Low,2
2023-01-26,07:00,Najafgarh-Dhansa Road,Rural,Clear,Dry,Medium,1
2023-01-26,08:00,Najafgarh-Dhansa Road,Rural,Rain,Wet,Low,5
2023-01-26,16:00,Chandni Chowk Main Road,City,Fog,Damp,Low,7
2023-01-26,08:00,Lajpat Nagar Market Rd,City,Stormy,Wet,Low,5
2023-01-27,00:00,Lajpat Nagar Market Rd,City,Fog,Damp,Low,6
2023-01-27,00:00,Outer Ring Road (Nehru Place),Highway,Rain,Wet,High,8
2023-01-27,14:00,Chhatarpur Farm Road,Rural,Fog,Damp,Low,9
2023-01-27,16:00,Outer Ring Road (Nehru Place),Highway,Clear,Dry,Low,5
2023-01-27,09:00,Outer Ring Road (Nehru Place),Highway,Stormy,Wet,High,8
2023-01-27,04:00,Lajpat Nagar Market Rd,City,Stormy,Wet,Medium,8
2023-01-27,08:00,Bawana Industrial Area,Rural,Rain,Wet,Medium,5
2023-01-27,23:00,Lajpat Nagar Market Rd,City,Clear,Dry,High,2
2023-01-27,12:00,Connaught Place Outer Circle,City,Rain,Wet,Low,5
2023-01-27,15:00,DND Flyway,Highway,Fog,Damp,High,9
2023-01-27,16:00,Delhi-Gurgaon Expressway,Highway,Stormy,Wet,High,10
2023-01-27,03:00,Hauz Khas Village Rd,City,Stormy,Wet,Low,6
2023-01-27,00:00,Delhi-Gurgaon Expressway,Highway,Stormy,Wet,High,10
2023-01-27,08:00,Noida-Greater Noida Expressway,Highway,Clear,Dry,Low,5
2023-01-27,12:00,DND Flyway,Highway,Fog,Damp,Medium,7
2023-01-27,09:00,Bawana Industrial Area,Rural,Clear,Dry,High,3
2023-01-27,04:00,Najafgarh-Dhansa Road,Rural,Clear,Dry,Low,1
2023-01-27,22:00,Noida-Greater Noida Expressway,Highway,Fog,Damp,High,10
2023-01-27,05:00,Chandni Chowk Main Road,City,Fog,Damp,Low,5
2023-01-27,12:00,Hauz Khas Village Rd,City,Stormy,Wet,Low,5
2023-01-28,21:00,Chhatarpur Farm Road,Rural,Clear,Dry,High,2
2023-01-28,03:00,Hauz Khas Village Rd,City,Fog,Damp,Low,5
2023-01-28,15:00,Chhatarpur Farm Road,Rural,Stormy,Wet,Low,10
2023-01-28,09:00,Bawana Industrial Area,Rural,Clear,Dry,High,1
2023-01-28,06:00,Lajpat Nagar Market Rd,City,Stormy,Wet,High,9
2023-01-28,19:00,Lajpat Nagar Market Rd,City,Rain,Wet,Low,3
2023-01-28,23:00,Lajpat Nagar Market Rd,City,Rain,Wet,Medium,5
2023-01-28,04:00,Outer Ring Road (Nehru Place),Highway,Fog,Damp,High,8
2023-01-28,06:00,Najafgarh-Dhansa Road,Rural,Clear,Dry,Medium,2
2023-01-28,10:00,Connaught Place Outer Circle,City,Fog,Damp,High,8
2023-01-28,01:00,Chhatarpur Farm Road,Rural,Rain,Wet,Medium,6
2023-01-28,10:00,Lajpat Nagar Market Rd,City,Rain,Wet,Low,5
2023-01-28,19:00,Bawana Industrial Area,Rural,Stormy,Wet,Low,8
2023-01-28,09:00,Bawana Industrial Area,Rural,Clear,Dry,High,4
2023-01-28,09:00,Hauz Khas Village Rd,City,Stormy,Wet,Medium,5
2023-01-28,08:00,Chhatarpur Farm Road,Rural,Clear,Dry,Low,2
2023-01-28,02:00,Hauz Khas Village Rd,City,Stormy,Wet,High,6
2023-01-28,03:00,Noida-Greater Noida Expressway,Highway,Fog,Damp,Medium,9
2023-01-28,11:00,Chandni Chowk Main Road,City,Stormy,Wet,Low,6
2023-01-29,16:00,Hauz Khas Village Rd,City,Rain,Wet,Low,6
2023-01-29,14:00,DND Flyway,Highway,Stormy,Wet,High,10
2023-01-29,05:00,Najafgarh-Dhansa Road,Rural,Rain,Wet,High,5
2023-01-29,19:00,Delhi-Gurgaon Expressway,Highway,Rain,Wet,High,7
2023-01-29,18:00,Noida-Greater Noida Expressway,Highway,Rain,Wet,Medium,5
2023-01-29,21:00,Chandni Chowk Main Road,City,Clear,Dry,High,2
2023-01-29,08:00,Lajpat Nagar Market Rd,City,Fog,Damp,Medium,5
2023-01-29,06:00,Hauz Khas Village Rd,City,Clear,Dry,Medium,3
2023-01-29,08:00,DND Flyway,Highway,Stormy,Wet,Low,7
2023-01-29,08:00,Najafgarh-Dhansa Road,Rural,Fog,Damp,Medium,8
2023-01-29,23:00,Bawana Industrial Area,Rural,Rain,Wet,Low,4
2023-01-29,01:00,Outer Ring Road (Nehru Place),Highway,Rain,Wet,Low,8
2023-01-29,11:00,Hauz Khas Village Rd,City,Rain,Wet,Medium,4
2023-01-29,21:00,Outer Ring Road (Nehru Place),Highway,Fog,Damp,Medium,7
2023-01-29,18:00,DND Flyway,Highway,Rain,Wet,Low,6
2023-01-29,23:00,Chandni Chowk Main Road,City,Rain,Wet,High,7
2023-01-29,16:00,DND Flyway,Highway,Clear,Dry,High,3
2023-01-29,12:00,Bawana Industrial Area,Rural,Fog,Damp,Medium,10
2023-01-29,12:00,Chandni Chowk Main Road,City,Stormy,Wet,High,7
2023-01-29,03:00,Chhatarpur Farm Road,Rural,Clear,Dry,High,1
2023-01-30,06:00,Chhatarpur Farm Road,Rural,Rain,Wet,Low,3
2023-01-30,05:00,Najafgarh-Dhansa Road,Rural,Fog,Damp,Medium,8
2023-01-30,08:00,Lajpat Nagar Market Rd,City,Clear,Dry,High,3
2023-01-30,18:00,Connaught Place Outer Circle,City,Stormy,Wet,Medium,7
2023-01-30,14:00,Bawana Industrial Area,Rural,Clear,Dry,Medium,1
2023-01-30,05:00,Lajpat Nagar Market Rd,City,Stormy,Wet,Medium,5
2023-01-30,15:00,Hauz Khas Village Rd,City,Clear,Dry,Low,1
2023-01-30,23:00,Connaught Place Outer Circle,City,Stormy,Wet,Medium,8
2023-01-30,19:00,Lajpat Nagar Market Rd,City,Stormy,Wet,Medium,8
2023-01-30,19:00,Bawana Industrial Area,Rural,Rain,Wet,Medium,3
2023-01-30,13:00,Chandni Chowk Main Road,City,Stormy,Wet,Low,5
2023-01-30,08:00,Connaught Place Outer Circle,City,Fog,Damp,Medium,4
2023-01-30,04:00,Outer Ring Road (Nehru Place),Highway,Clear,Dry,Low,4
2023-01-30,13:00,Hauz Khas Village Rd,City,Clear,Dry,Medium,2
2023-01-30,21:00,Connaught Place Outer Circle,City,Rain,Wet,Low,3
2023-01-30,05:00,Outer Ring Road (Nehru Place),Highway,Rain,Wet,Low,8
2023-01-30,08:00,Bawana Industrial Area,Rural,Clear,Dry,High,1
2023-01-30,05:00,Outer Ring Road (Nehru Place),Highway,Rain,Wet,Medium,6
2023-01-31,11:00,Bawana Industrial Area,Rural,Stormy,Wet,High,9
2023-01-31,01:00,Bawana Industrial Area,Rural,Rain,Wet,High,5
2023-01-31,01:00,Najafgarh-Dhansa Road,Rural,Rain,Wet,Low,4
2023-01-31,04:00,Noida-Greater Noida Expressway,Highway,Rain,Wet,Low,8
2023-01-31,03:00,Bawana Industrial Area,Rural,Fog,Damp,Medium,7
2023-01-31,01:00,Noida-Greater Noida Expressway,Highway,Stormy,Wet,High,10
2023-01-31,12:00,Hauz Khas Village Rd,City,Rain,Wet,Medium,3
2023-01-31,13:00,Delhi-Gurgaon Expressway,Highway,Fog,Damp,Medium,8
2023-01-31,01:00,Najafgarh-Dhansa Road,Rural,Stormy,Wet,Low,10
2023-01-31,23:00,Outer Ring Road (Nehru Place),Highway,Rain,Wet,High,8
2023-01-31,09:00,Hauz Khas Village Rd,City,Fog,Damp,Medium,4
2023-01-31,02:00,Chhatarpur Farm Road,Rural,Stormy,Wet,Medium,10
2023-01-31,13:00,Bawana Industrial Area,Rural,Rain,Wet,High,4
2023-01-31,05:00,Chandni Chowk Main Road,City,Clear,Dry,Medium,2
2023-01-31,16:00,Chhatarpur Farm Road,Rural,Fog,Damp,Medium,7
2023-01-31,04:00,Bawana Industrial Area,Rural,Stormy,Wet,High,10
2023-01-31,14:00,Outer Ring Road (Nehru Place),Highway,Stormy,Wet,Low,8
2023-01-31,02:00,Hauz Khas Village Rd,City,Stormy,Wet,Medium,7
2023-01-31,19:00,Bawana Industrial Area,Rural,Rain,Wet,Low,3
2023-01-31,09:00,Outer Ring Road (Nehru Place),Highway,Stormy,Wet,High,9
2023-02-01,09:00,Lajpat Nagar Market Rd,City,Stormy,Wet,Low,7
2023-02-01,22:00,Connaught Place Outer Circle,City,Clear,Dry,Low,2
2023-02-01,23:00,Connaught Place Outer Circle,City,Rain,Wet,Low,6
2023-02-01,03:00,Outer Ring Road (Nehru Place),Highway,Clear,Dry,Low,3
2023-02-01,00:00,Chandni Chowk Main Road,City,Clear,Dry,Medium,3
2023-02-01,17:00,Hauz Khas Village Rd,City,Fog,Damp,Medium,6
2023-02-01,22:00,Najafgarh-Dhansa Road,Rural,Fog,Damp,High,10
2023-02-01,11:00,Chhatarpur Farm Road,Rural,Clear,Dry,High,3
2023-02-01,14:00,Outer Ring Road (Nehru Place),Highway,Clear,Dry,Medium,3
2023-02-01,08:00,Hauz Khas Village Rd,City,Fog,Damp,Low,4
2023-02-01,23:00,Chandni Chowk Main Road,City,Fog,Damp,Low,6
2023-02-01,16:00,Lajpat Nagar Market Rd,City,Fog,Damp,Low,5
2023-02-01,19:00,Lajpat Nagar Market Rd,City,Stormy,Wet,Medium,5
2023-02-01,13:00,Lajpat Nagar Market Rd,City,Stormy,Wet,Medium,6
2023-02-01,15:00,Connaught Place Outer Circle,City,Clear,Dry,Low,3
2023-02-01,21:00,Connaught Place Outer Circle,City,Clear,Dry,Medium,1
2023-02-01,16:00,Chhatarpur Farm Road,Rural,Stormy,Wet,Medium,9
2023-02-01,20:00,Outer Ring Road (Nehru Place),Highway,Stormy,Wet,Low,8
2023-02-01,03:00,DND Flyway,Highway,Clear,Dry,Low,3
2023-02-02,21:00,Outer Ring Road (Nehru Place),Highway,Clear,Dry,Low,3
2023-02-02,04:00,Outer Ring Road (Nehru Place),Highway,Rain,Wet,Low,6
2023-02-02,11:00,Noida-Greater Noida Expressway,Highway,Stormy,Wet,Medium,8
2023-02-02,09:00,Lajpat Nagar Market Rd,City,Stormy,Wet,Medium,5
2023-02-02,22:00,Lajpat Nagar Market Rd,City,Rain,Wet,Medium,5
2023-02-02,17:00,Lajpat Nagar Market Rd,City,Rain,Wet,High,7
2023-02-02,20:00,Chandni Chowk Main Road,City,Stormy,Wet,Medium,6
2023-02-02,07:00,Connaught Place Outer Circle,City,Fog,Damp,High,7
2023-02-02,14:00,DND Flyway,Highway,Clear,Dry,Medium,2
2023-02-02,18:00,Noida-Greater Noida Expressway,Highway,Clear,Dry,Medium,3
2023-02-02,23:00,Najafgarh-Dhansa Road,Rural,Fog,Damp,High,10
2023-02-02,15:00,Noida-Greater Noida Expressway,Highway,Clear,Dry,Low,3
2023-02-02,10:00,Delhi-Gurgaon Expressway,Highway,Clear,Dry,Low,3
2023-02-02,13:00,Delhi-Gurgaon Expressway,Highway,Stormy,Wet,High,8
2023-02-02,21:00,Delhi-Gurgaon Expressway,Highway,Clear,Dry,Low,3
2023-02-02,15:00,Bawana Industrial Area,Rural,Fog,Damp,High,8
2023-02-02,14:00,DND Flyway,Highway,Rain,Wet,Low,6
2023-02-02,07:00,Najafgarh-Dhansa Road,Rural,Rain,Wet,Medium,6
2023-02-03,08:00,Lajpat Nagar Market Rd,City,Rain,Wet,Medium,6
2023-02-03,05:00,Najafgarh-Dhansa Road,Rural,Fog,Damp,Low,8
2023-02-03,07:00,Hauz Khas Village Rd,City,Clear,Dry,High,3
2023-02-03,15:00,Connaught Place Outer Circle,City,Rain,Wet,Medium,4
2023-02-03,05:00,Outer Ring Road (Nehru Place),Highway,Rain,Wet,Medium,8
2023-02-03,08:00,Chhatarpur Farm Road,Rural,Clear,Dry,Low,1
2023-02-03,01:00,Chandni Chowk Main Road,City,Stormy,Wet,High,7
2023-02-03,16:00,DND Flyway,Highway,Stormy,Wet,High,10
2023-02-03,02:00,Lajpat Nagar Market Rd,City,Clear,Dry,Medium,3
2023-02-03,01:00,Lajpat Nagar Market Rd,City,Clear,Dry,Medium,1
2023-02-03,02:00,Lajpat Nagar Market Rd,City,Rain,Wet,Low,6
2023-02-03,04:00,Noida-Greater Noida Expressway,Highway,Stormy,Wet,High,9
2023-02-03,03:00,Lajpat Nagar Market Rd,City,Clear,Dry,Low,1
2023-02-03,21:00,Chandni Chowk Main Road,City,Fog,Damp,Low,6
2023-02-03,05:00,Lajpat Nagar Market Rd,City,Rain,Wet,Medium,3
2023-02-03,13:00,Hauz Khas Village Rd,City,Clear,Dry,Medium,3
2023-02-03,17:00,Delhi-Gurgaon Expressway,Highway,Stormy,Wet,Low,7
2023-02-03,17:00,Outer Ring Road (Nehru Place),Highway,Clear,Dry,Low,2
2023-02-03,07:00,Lajpat Nagar Market Rd,City,Stormy,Wet,High,7
2023-02-03,23:00,Hauz Khas Village Rd,City,Fog,Damp,Medium,6
2023-02-03,06:00,Chhatarpur Farm Road,Rural,Rain,Wet,High,7
2023-02-03,04:00,Delhi-Gurgaon Expressway,Highway,Rain,Wet,Medium,8
2023-02-04,06:00,Chandni Chowk Main Road,City,Clear,Dry,Low,3
2023-02-04,04:00,Chandni Chowk Main Road,City,Stormy,Wet,Medium,5
2023-02-04,12:00,DND Flyway,Highway,Clear,Dry,High,5
2023-02-04,19:00,Delhi-Gurgaon Expressway,Highway,Clear,Dry,Low,5
2023-02-04,00:00,Hauz Khas Village Rd,City,Fog,Damp,High,5
2023-02-04,18:00,Chhatarpur Farm Road,Rural,Fog,Damp,High,8
2023-02-04,05:00,Outer Ring Road (Nehru Place),Highway,Clear,Dry,Medium,2
2023-02-04,07:00,Noida-Greater Noida Expressway,Highway,Clear,Dry,High,3
2023-02-04,01:00,Najafgarh-Dhansa Road,Rural,Fog,Damp,High,10
2023-02-04,19:00,Noida-Greater Noida Expressway,Highway,Rain,Wet,Medium,8
2023-02-04,08:00,Noida-Greater Noida Expressway,Highway,Rain,Wet,Medium,6
2023-02-04,23:00,Delhi-Gurgaon Expressway,Highway,Clear,Dry,Medium,4
2023-02-04,18:00,Bawana Industrial Area,Rural,Fog,Damp,Low,8
2023-02-04,08:00,Najafgarh-Dhansa Road,Rural,Stormy,Wet,High,9
2023-02-04,15:00,Outer Ring Road (Nehru Place),Highway,Rain,Wet,High,8
2023-02-04,12:00,Najafgarh-Dhansa Road,Rural,Rain,Wet,Low,6
2023-02-04,08:00,Lajpat Nagar Market Rd,City,Fog,Damp,High,8
2023-02-04,17:00,Chhatarpur Farm Road,Rural,Clear,Dry,Medium,2
2023-02-05,03:00,Bawana Industrial Area,Rural,Rain,Wet,High,4
2023-02-05,03:00,Connaught Place Outer Circle,City,Stormy,Wet,High,7
2023-02-05,05:00,Connaught Place Outer Circle,City,Fog,Damp,High,5
2023-02-05,02:00,Noida-Greater Noida Expressway,Highway,Rain,Wet,Low,6
2023-02-05,15:00,Outer Ring Road (Nehru Place),Highway,Clear,Dry,High,5
2023-02-05,23:00,Bawana Industrial Area,Rural,Clear,Dry,Low,1
2023-02-05,16:00,Hauz Khas Village Rd,City,Clear,Dry,Low,2
2023-02-05,12:00,Chandni Chowk Main Road,City,Clear,Dry,Medium,2
2023-02-05,15:00,Chandni Chowk Main Road,City,Rain,Wet,Low,4
2023-02-05,18:00,Delhi-Gurgaon Expressway,Highway,Fog,Damp,Low,8
2023-02-05,03:00,Chhatarpur Farm Road,Rural,Stormy,Wet,Low,9
2023-02-05,18:00,Bawana Industrial Area,Rural,Fog,Damp,Low,8
2023-02-05,04:00,Chandni Chowk Main Road,City,Clear,Dry,Low,1
2023-02-05,15:00,Lajpat Nagar Market Rd,City,Clear,Dry,Medium,3
2023-02-05,22:00,Noida-Greater Noida Expressway,Highway,Rain,Wet,High,9
2023-02-05,06:00,Delhi-Gurgaon Expressway,Highway,Clear,Dry,Low,2
